w[0],w[1],w[2],w[3],b,count
-55.736988,-36.909576,-43.551884,-6.764105,52.000000,30
-53.345287,-32.353077,-48.540684,-9.662805,53.000000,1
-56.943787,-46.012375,-30.935484,-12.155504,54.000000,11
-54.912788,-44.160374,-33.947582,-12.152501,55.000000,25
-52.895088,-42.362175,-36.905682,-11.942601,56.000000,146
-51.405487,-38.933376,-40.936581,-13.368502,57.000000,80
-51.924988,-35.670074,-44.026081,-12.383602,56.000000,138
-52.254227,-31.214874,-48.597881,-11.394802,55.000000,40
-55.221428,-44.501774,-35.125183,-14.021902,56.000000,30
-56.151127,-40.704674,-39.768082,-13.726202,55.000000,6
-56.670628,-37.441376,-42.857582,-12.741302,54.000000,108
-56.999828,-32.986176,-47.429382,-11.752502,53.000000,6
-56.212929,-42.552475,-43.642681,-4.249103,52.000000,55
-56.732399,-39.289177,-46.732182,-3.264183,51.000000,136
-57.251869,-36.025879,-49.821682,-2.279263,50.000000,18
-61.269169,-44.338181,-37.366982,-3.716763,51.000000,80
-59.819069,-40.731480,-41.422680,-5.313363,52.000000,7
-60.148270,-36.276279,-45.994480,-4.324563,51.000000,14
-63.290569,-49.312778,-30.317181,-4.986213,52.000000,15
-65.382767,-42.502777,-38.780781,-4.384053,51.000000,89
-64.154869,-38.471878,-43.424282,-8.296553,52.000000,70
-61.960567,-33.921577,-48.400284,-11.021953,53.000000,54
-65.466568,-46.488277,-33.239685,-11.774113,54.000000,56
-65.986069,-43.224976,-36.329185,-10.789213,53.000000,6
-64.634270,-42.165474,-38.672886,-10.389234,54.000000,11
-63.144669,-38.736675,-42.703785,-11.815134,55.000000,160
-63.664169,-35.473373,-45.793285,-10.830235,54.000000,37
-61.633171,-33.621372,-48.805386,-10.827231,55.000000,15
-66.010468,-39.138073,-37.866386,-11.235432,56.000000,33
-64.429466,-38.268982,-40.180187,-10.411312,57.000000,70
-62.037766,-33.712482,-45.168987,-13.310012,58.000000,26
-65.733864,-47.390381,-27.589487,-15.928112,59.000000,7
-67.895462,-40.509979,-35.741188,-15.847064,58.000000,3
